film_id,title,year,director
ESP16,T:The Little Train Robbery,1905,D:E.S.Porter
ESP17,T:The Kleptomaniac,1905,D:E.S.Porter
ESP25,T:The Count of Monte Christo,1912,D:E.S.Porter
ESP26,T:The Prisoner of Zenda,1912,D:E.S.Porter
ESP27,T:His Neighbor's Wife,1912,D:E.S.Porter
ESP28,T:Tess of the d'Ubervilles,1912,D:E.S.Porter
ESP30,T:An American Citizen,1913,D:E.S.Porter
ESP31,T:A Good Little Devil,1913,D:E.S.Porter
ESP32,T:In The Bishop's Carriage,1913,D:E.S.Porter
ESP33,T:Caprice,1913,D:E.S.Porter
ESP34,T:Hearts Adrift,1913,D:E.S.Porter
ESP40,T:Tess of The Storm Country,1914,D:E.S.Porter
GMs1,T:L'Escamontage d'une Dame,1896,D:Melies
GMs2,T:L'Homme orchestre,1900,D:Melies
GMs4,T:Cinderella,1900,D:Melies
GMs6,T:Le voyage dans la lune,1902,D:Melies
GMs8,T:Danseuse Microscopique,1902,D:Melies
GMs12,T:An Impossible Voyage,1904,D:Melies
GMs20,T:L'Homme a la Tete en Caoutchouc,1906,D:Melies
WRB10,T:The Magic Sword or A Medieval Mystery,1891,Booth
CPa1,T:La Passion,1902,D:Pathe
CPa50,T:Les Mis\'erables,1909,D:Pathe
WHa1,T:The Maniac's Guillotine,1902,D:Haggar
WHa8,T:The Life of Charles Pierce,1905,D:Haggar
WMc10,T:Kit Carson,1903,D:McCutcheon
ThE10,T:Parsifal,1904,D:Edison
JaC1,T:The Wagon Trails,1906,D:Cruze
JaC7,T:Too Many Millions,1918,D:Cruze
JaC10,T:The Covered Wagon,1923,D:Cruze
JaC12,T:Hollywood,1918,D:Cruze
JaC15,T:Ruggles of Red Gap,1918,D:Cruze
JaC20,T:Beggars on Horseback,1925,D:Cruze
JaC23,T:Pony Express,1925,D:Cruze
JaC25,T:Old Ironsides,1926,D:Cruze
JaC33,T:Washington Merry Go Round,1932,D:Cruze
JaC35,T:I Cover the Waterfront,1933,D:Cruze
JaC40,T:Sutter's Gold,1936,D:Cruze
GKS60,T:The Dead Man's Claim,1912,D:Spoor
LMi1,T:The Last Days of Pompeii,1908,D:Maggi
LMi5,T:Nero and the Burning of Rome,1909,D:Maggi
LMi23,T:Autumn Sunset Dream,1911,D:Maggi
LMi25,T:The Ship with the Lions,1912,D:Maggi
LMi35,T:The Lion of Venice,1914,D:Maggi
DWG02,T:At the French Ball,1908,D:Griffith
DWG03,T:Calamitous Elopement,1908,D:Griffith
DWG1,T:The Adventures of Dolly,1908,D:Griffith
DWG3,T:For the Love of Gold,1908,D:Griffith
DWG5,T:The Call of the Wild,1908,D:Griffith
DWG6,T:Lines of White on a Sullen Sea,1908,D:Griffith
DWG7,T:The Sealed Room,1909,D:Griffith
DWG8,T:A Corner in Wheat,1909,D:Griffith
DWG9,T:The Lonely Villa,1909,D:Griffith
DWG10,T:The Life of Edgar Allen Poe,1909,D:Griffith
DWG11,T:The Curtain Pole,1909,D:Griffith
DWG15,T:Song of the Wildwood Flute,1910,D:Griffith
DWG16,T:Love Among the Roses,1910,D:Griffith
DWG25,T:The Lonedale Operator,1911,D:Griffith
DWG26,T:Paradise Lost,1911,D:Griffith
DWG27,T:Enoch Arden,1911,D:Griffith
DWG29,T:The Cowboy Doctor,1911,D:Griffith
DWG33,T:Man's Genesis,1912,D:Griffith
DWG35,T:The Musketeers of Pig Alley,1912,D:Griffith
DWG40,T:The Raven,1912,D:Griffith
DWG47,T:The New York Hat,1912,D:Griffith
DWG49,T:The Battle at Elderbush Gulch,1913,D:Griffith
DWG50,T:Judith of Bethulia,1913,D:Griffith
DWG51,T:The Clansman,1915,D:Griffith
DWG52,T:Intolerance,1916,D:Griffith
DWG53,T:Hearts of the World,1918,D:Griffith
DWG55,T:The Greatest Question,1919,D:Griffith
DWG57,T:Broken Blossoms,1919,D:Griffith
DWG58,T:True Heart Susie,1919,D:Griffith
DWG64,T:Way Down East,1920,D:Griffith
DWG66,T:One Exciting Night,1922,D:Griffith
DWG67,T:Orphans of the Storm,1922,D:Griffith
DWG71,T:America,1924,D:Griffith
DWG72,T:Isn't life Wonderful,1924,D:Griffith
DWG75,T:Screen Snapshots,1926,D:Griffith
DWG80,T:Abraham Lincoln,1930,D:Griffith
Z0210,T:Romeo and Juliet,1908,D:Unknown2
Z0220,T:Romeo and Juliet,1908,D:Unknown2
Z0230,T:Romeo and Juliet,1908,D:Unknown2
Z0240,T:Romeo and Juliet,1911,D:Unknown2
Z0250,T:Romeo and Juliet,1911,D:Unknown2
Z0260,T:Romeo and Juliet,1916,D:Unknown2
Z0270,T:Romeo and Juliet,1916,D:Unknown2
Z0280,T:Romeo and Juliet,1996,D:Unknown2
EiC10,T:Le Binetoscope,1909,D:Cohl
GdL10,"T:Marin Valiero, Doge of Venice",1909,D:deLiguoro
MCs2,T:The Pilgrim's Progress,1912,D:Caserini
MCs3,T:Macbeth,1913,D:Caserini
MCs10,T:Love Everlasting,1913,D:Caserini
WMk10,T:Gertie the Dino,1909,D:Mackay
FkP10,T:All on Account of Milk,1910,D:F.Powell
GlS10,T:The Merchant of Venice,1910,D:loSavio
ISB10,T:Life of Moses,1910,D:Blackton
ThB10,T:The Old Curiosity Shop,1913,D:Bentley
ThB30,T:The Old Curiosity Shop,1921,D:Bentley
ThB50,T:Young Woodley,1930,D:Bentley
ThB55,T:Hobson's Choice,1931,D:Bentley
ThB65,T:Those Were the Days,1934,D:Bentley
ThB70,T:The Old Curiosity Shop,1935,D:Bentley
ThB80,T:Lucky to Me,1939,D:Bentley
UgF10,T:Salome,1910,D:Falena
UgF12,T:Francesca di Rimini,1911,D:Falena
APv10,T:Dante's Inferno,1911,D:Padovan
APv11,T:Homer's Odyssey,1911,D:Padovan
AuB10,T:The Vampire Dancer,1911,D:Blom
LcP15,T:L'Enfant de Paris,1913,D:Perret
OrM10,T:Clios and Phyletes,1911,D:Mentasti
ThI10,T:Little Dove's Romance,1911,D:Th.Ince
ThI18,T:Battle of the Red Men,1912,D:Th.Ince
ThI20,T:Custer's Last Fight,1912,D:Th.Ince
ThI33,T:The Death Mask,1914,D:Th.Ince
ThI40,T:Civilization,1915,D:Th.Ince
ThI60,T:Human Wreckage,1924,D:Th.Ince
ThI65,T:Custer's Last Fight,1925,D:Th.Ince
UrG10,T:The Aviator's Generosity,1911,D:Gad
WmH10,T:A Tale of Two Cities,1911,D:Humphrey
ADw5,T:Maiden and Men,1912,D:Dwan
ADw6,T:Their Hero Son,1912,D:Dwan
ADw17,T:Robin Hood,1922,D:Dwan
ADw22,T:The Iron Mask,1922,D:Dwan
ADw27,T:Manhandled,1924,D:Dwan
ADw35,T:Heidi,1937,D:Dwan
ADw40,T:Rebecca of Sunnybrook Farm,1938,D:Dwan
ADw41,T:Suez,1938,D:Dwan
ADw45,T:The Three Musketeers,1939,D:Dwan
ADw52,T:Around the World,194e,Dwan
ADw60,T:Sands of Iwo Jima,1949,D:Dwan
ADw70,T:Cattle Queen of Montana,1954,D:Dwan
ADw72,T:Passion,1954,D:Dwan
ADw75,T:Tennessee's Partner,1954,D:Dwan
ADw78,T:Pearl of the South Pacific,1955,D:Dwan
ADw80,T:Slightly Scarlet,1956,D:Dwan
AEG25,T:The Ghost Breaker,1922,D:A.E.Green
AEG37,T:Baby Face,1933,D:A.E.Green
AEG39,T:I Loved a Woman,1933,D:A.E.Green
AEG41,T:Dangerous,1935,D:A.E.Green
AEG50,T:The Gracie Allen Murder Case,1935,D:A.E.Green
AEG60,T:The Jolson Story,1946,D:A.E.Green
AEG70,T:The Eddie Cantor Story,1953,D:A.E.Green
JCw16,T:Step On It,1922,D:Conway
JCw41,T:Bringing Up Father,1928,D:Conway
JCw44,T:Our Modern Maidens,1929,D:Conway
JCw47,T:The Unholy Three,1930,D:Conway
JCw50,T:Just a Gigolo,1931,D:Conway
JCw51,T:Ars\`ene Lupin,1932,D:Conway
JCw53,T:Red-headed Woman,1932,D:Conway
JCw57,T:Viva Villa,1934,D:Conway
JCw61,T:A Tale of Two Cities,1935,D:Conway
JCw62,T:Libeled Lady,1936,D:Conway
JCw63,T:Sarasota,1937,D:Conway
JCw64,T:A Yank at Oxford,1938,D:Conway
JCw65,T:Too Hot To Handle,1938,D:Conway
JCw67,T:Lady of the Tropics,1939,D:Conway
JCw68,T:Boom Town,1940,D:Conway
JCw69,T:Love Crazy,1940,D:Conway
JCw70,T:Honky Tonk,1940,D:Conway
JCw73,T:Dragon Seed,1944,D:Conway
JCw75,T:The Hucksters,1947,D:Conway
JDu10,T:Comedy of the absurd,1912,D:Durand
MaT10,T:Alias Jimmy Valentine,1915,D:M.Tourneur
MaT25,T:The Pride of the Clan,1917,D:M.Tourneur
MaT27,T:Poor Little Rich Girl,1917,D:M.Tourneur
MaT40,T:Au nom de la loi,1931,D:M.Tourneur
LMe10,T:Queen Elizabeth,1912,D:Mercanton
LoW3,T:How Men Propose,1913,D:Weber
LoW5,T:Where are My Children,1916,D:Weber
LoW10,T:The Dumb Girl of Portici,1916,D:Weber
LoW11,"T:The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916,D:Weber
LoW20,T:The Dance of Love,1920,D:Weber
LoW21,T:Shoes,1920,D:Weber
ME40,T:Nelson,1919,D:Elvey
ME60,T:The Elusive Pimpernel,1912,D:Elvey
ME100,T:The Hound of the Baskervilles,1921,D:Elvey
MEl130,T:Balalava,1928,D:Elvey
MEl150,T:The School for Scandal,1930,D:Elvey
ME180,T:The Lodger,1932,D:Elvey
ME200,T:The Tunnel,1934,D:Elvey
ME240,T:The Spider,1940,D:Elvey
ME270,T:Beware of Pity,1946,D:Elvey
ME300,T:My Wife's Lodger,1952,D:Elvey
MSe10,T:Dough and Dynamite,1914,D:Mack~Sennett
MSe15,T:Fatty and Mabel at the San Diego Exposition,1915,D:Mack~Sennett
MSe18,T:Fatty and Mabel's Simple Life,1915,D:Mack~Sennett
MSt10,T:Vampyren,1912,D:M.Stiller
MSt20,T:Sir Arne's Treasure,1919,D:M.Stiller
MSt30,T:Erotikon,1920,D:M.Stiller
MSt40,T:The Saga of Gosta Berlin,1924,D:M.Stiller
MSt50,T:The Blizzard,1926,D:M.Stiller
MSt53,T:The Temptress,1927,D:M.Stiller
MSt55,T:Hotel Imperial,1927,D:M.Stiller
MSt60,T:Street of Sin,1928,D:M.Stiller
SiO10,T:From the Manger to the Cross,1912,D:Olcott
SiO30,T:Monsieur Beaucaire,1924,D:Olcott
VSj1,T:Tradgardsmastaren,1912,D:Seastrom
VSj3,T:The Phantom Carriage,1920,D:Seastrom
VSj5,T:He Who gets Slapped,1924,D:Seastrom
VSj6,T:The Scarlet Letter,1926,D:Seastrom
VSj7,T:The Divine Woman,1927,D:Seastrom
VSj8,T:The Wind,1927,D:Seastrom
Z1210,T:Within the Law,1912,D:Unknown12
Z1220,T:Within the Law,1917,D:Unknown12
Z1230,T:Within the Law,1923,D:Unknown12
ElR10,T:The Last Days of Pompeii,1913,D:Rodolfo
NOx10,T:Il Cadavere Vivente,1913,D:Oxilia
NOx20,T:Rhapsodia Satanica,1917,D:Oxilia
AcG10,"T:Fedora, or Piu Forte dell'Odio e Amore",1913,D:Gonsalvi
BuG10,T:Blade O'Grass,1915,D:George
CDM1,T:The Squaw Man,1913.0,D:DeMille
CDM3,T:The Virginian,1914.0,D:DeMille
CDM5,T:Brewster's Millions,1914.0,D:DeMille
CDM6,T:Rose of the Rancho,1914.0,D:DeMille
CDM7,T:The Ghost Breaker,1914.0,D:DeMille
CDM8,T:Call of the North,1915.0,D:DeMille
CDM9,T:The Girl of the Golden West,1915.0,D:DeMille
CDM10,T:The Wild Goose Chase,1915.0,D:DeMille
CDM11,T:The Warrens of Virginia,1915.0,D:DeMille
CDM12,T:The Arab,1915.0,D:DeMille
CDM13,T:The Goose Girl,1915.0,D:DeMille
CDM15,T:Carmen,1915.0,D:DeMille
CDM16,T:Maria Rosa,1915.0,D:DeMille
CDM17,T:The Captive,1915.0,D:DeMille
CDM18,T:The Cheat,1915.0,D:DeMille
CDM19,T:The Trail of the Lonesome Pine,1916.0,D:DeMille
CDM22,"T:Joan, the Woman",1917.0,D:DeMille
CDM32,T:The Squaw Man,1918.0,D:DeMille
CDM40,T:The Affairs of Anatol,1921.0,D:DeMille
CDM44,T:Adam's Rib,1923.0,D:DeMille
CDM45,T:The Ten Commandments,1923.0,D:DeMille
CDM51,T:The King of Kings,1927.0,D:deMille
CDM52,T:Madame Satan,1930.0,D:DeMille
CDM54,T:The Godless Girl,1931.0,D:DeMille
CDM55,T:The Squaw Man,1931.0,D:DeMille
CDM56,T:The Sign of the Cross,1932.0,D:DeMille
CDM59,T:Cleopatra,1934.0,D:DeMille
CDM60,T:The Crusades,1935.0,D:DeMille
CDM64,T:The Plainsman,1936.0,D:DeMille
CDM68,T:The Buccaneer,1938.0,D:DeMille
CDM70,T:Union Pacific,1939.0,D:DeMille
CDM73,T:Union Pacific,1939.0,D:DeMille
CDM75,T:Reap the Wild Wind,1942.0,D:DeMille
CDM77,T:Unconquered,1947.0,D:DeMille
CDM79,T:The Greatest Show on Earth,1952.0,D:DeMille
CDM80,T:The Ten Commandments,1956.0,D:DeMille
EGz10,T:Anthony and Cleopatra,1913,D:Guazzoni
GBS10,T:The Perils of Pauline,1913,D:Seitz
GBS20,T:The Fatal Ring,1917,D:Seitz
GBS30,T:Velvet Fingers,1921,D:Seitz
GBS40,T:The Sky Ranger,1925,D:Seitz
GBS42,T:The Vanishing American,1925,D:Seitz
GBS90,T:The Woman in his Life,1935,D:Seitz
GBS92,T:The Last of the Mohicans,1936,D:Seitz
GBS93,T:A Family Affair,1936,D:Seitz
GBS95,T:You're Only Young Once,1938,D:Seitz
GBS96,T:Judge Hardy's Children,1938,D:Seitz
GBS97,T:Love Finds Andy Hardy,1938,D:Seitz
GBS98,T:Out West With the Hardys,1938,D:Seitz
GBS100,T:6000 Enemies,1939,D:Seitz
GBS102,T:The Hardys Ride High,1939,D:Seitz
GBS103,T:Judge Hardy and Son,1939,D:Seitz
GBS110,T:Andy Hardy Meets a Debutante,1939,D:Seitz
GBS115,T:Kit Carson,1940,D:Seitz
GBS120,T:Sky Murder,1940,D:Seitz
GBS130,T:Andy Hardy's Private Secretary,1941,D:Seitz
GBS132,T:Life Begins for Andy Hardy,1941,D:Seitz
GBS140,T:China Caravan,1942,D:Seitz
GBS144,T:The Courtship of Andy Hardy,1942,D:Seitz
GBS145,T:Andy Hardy's Double Life,1942,D:Seitz
GBS150,T:Andy Hardy's Blonde Trouble,1944,D:Seitz
BHd10,T:East Lynne,1913,D:Haldane
DGP1,T:Raja Harishchandra,1913,D:Phalke
HBn5,T:Ivanhoe,1913,D:Brenon
HBn8,T:Neptune's Daughter,1914,D:Brenon
HBn10,T:The Kreuzer Sonata,1913,D:Brenon
HBn12,T:War Brides,1916,D:Brenon
HBn15,T:The Passing of the Third Floor Back,1918,D:Brenon
HBn18,T:The Sign on the Door,1921,D:Brenon
HBn21,T:The Spanish Dancer,1923,D:Brenon
HBn25,T:Peter Pan,1924,D:Brenon
HBn30,T:Beau Geste,1926,D:Brenon
HBn40,T:Beau Ideal,1931,D:Brenon
HHS1,T:The White Goddess of the Wangora,1913,D:Schomburgk
HHS3,T:The Heroes of Paratau,1914,D:Schomburgk
HHS6,T:The Outlaw of the Sudu Mountains,1914,D:Schomburgk
HHS8,T:Odd Man Out,1914,D:Schomburgk
HHS9,T:Deutsche bin Sudan,1914,D:Schomburgk
HHS12,T:Eine Weisse unter Kannibalen,1919,D:Schomburgk
HHS13,T:Ein Abenteurer,1920,D:Schomburgk
HHS14,T:Tropengift,1920,D:Schomburgk
HHS15,T:Goldfieber,1920,D:Schomburgk
HHS16,T:Im Kampf um die Diamantfelder,1921,D:Schomburgk
HHS22,T:Geheimbundrieten der Frauen in Liberia,1923,D:Schomburgk
HHS24,T:Mensch und Tier im Urwald,1924,D:Schomburgk
HHS26,"T:Fahrten und F\""ahrten",1926,D:Schomburgk
HHS28,T:Verlorenes Land,1926,D:Schomburgk
HHS36,T:Das Letzte Paradis,1932,D:Schomburgk
HHS38,T:Die Wildnis Stribt,1933,D:Schomburgk
HHS48,"T:Fauen, Masken, und Dam\""onen",1948,D:Schomburgk
HHS50,T:Abschied von Afrika,1956,D:Schomburgk
PW1,T:The Student of Prag,1913,D:Wegener
PW2,"T:R\""ubezahls Hochzeit",1916,D:Wegener
PW3,"T:Der Rattenf\""anger von Hameln",1918,D:Wegener
PW4,T:Der Golem,1920,D:Wegener
Z4210,T:Tarzan the Ape Man,1913,D:Unknown42
Z4215,T:Romance of Tarzan,1918,D:Unknown42
Z4220,T:Return of Tarzan,1920,D:Unknown42
Z4222,T:Son of Tarzan,1920,D:Unknown42
Z4225,T:Adventures of Tarzan,1921,D:Unknown42
Z4230,T:Tarzan and the Golden Lion,1927,D:Unknown42
Z4240,T:Tarzan the Mighty,1928,D:Unknown42
ADA10,T:The Memory of the Other,1914,D:DegliAbbati
AK1,T:The Duped Journalist,1914,D:A.Korda
AK19,T:The Man with the Golden Touch,1918,D:A.Korda
AK26,T:The Prince and the Pauper,1920,D:A.Korda
AK40,T:The Private Life of Helen of Troy,1927,D:A.Korda
AK45,T:Her Private Life,1929,D:A.Korda
AK49,T:The Princess and the Plumber,1931,D:A.Korda
AK50,T:Marius,1931,D:A.Korda
AK57,T:The Private Life of Henry VIII,1933,D:A.Korda
AK58,T:The Girl from Maxim's,1933,D:A.Korda
AK59,T:The Private Life of Don Juan,1934,D:A.Korda
AK78,T:Rembrandt,1936,D:A.Korda
AK90,T:That Hamilton Woman,1941,D:A.Korda
CC1,T:Making A Living,1914,D:Chaplin
CC43,T:The Tramp,1915,D:Chaplin
CC50,T:Shangheid,1916,D:Chaplin
CC52,T:A Night at the Show,1916,D:Chaplin
CC62,T:The Immigrant,1917,D:Chaplin
CC64,T:The Adventurer,1917,D:Chaplin
CC66,T:A Dog's Life,1918,D:Chaplin
CC68,T:Shoulder Arms,1918,D:Chaplin
CC70,T:The Kid,1920,D:Chaplin
CC72,T:Shoulder Arms,1922,D:Chaplin
CC73,T:The Gold Rush,1925,D:Chaplin
CC75,T:The Circus,1927,D:Chaplin
CC76,T:City Lights,1931,D:Chaplin
CC77,T:Modern Times,1936,D:Chaplin
CC78,T:The Great Dictator,1940,D:Chaplin
CC79,T:The Gold Rush,1942,D:Chaplin
CC80,T:Monsieur Verdoux,1947,D:Chaplin
CC82,T:A King in New York,1957,D:Chaplin
CC83.,T:A Countess from HongKong,1966,D:Chaplin
CGl10,T:La donna nuda,1914,D:Gallone
CGl25,T:Malombra,1917,D:Gallone
CGl35,T:Maman poupee,1920,D:Gallone
CGl42,T:Fabiola,1923,D:Gallone
CGl44,T:Mesalina,1924,D:
CGl46,T:Quo Vadis,1925,D:Gallone
CGl48,T:The Last Days of Pompeii,1926,D:Gallone
CGl55,T:Pawns of Passion,1928,D:Gallone
CGl70,T:Madame Butterfly,1939,D:Gallone
CGl75,T:Manon Lescaut,1940,D:Gallone
CGl85,T:La Traviata,1947,D:Gallone
CGl90,T:Faust and the Devil,1949,D:Gallone
CGl95,T:La Forza del Destino,1951,D:Gallone
CGl103,T:Tosca,1956,D:Gallone
CGl107,T:Michel Strogoff,1959,D:Gallone
CGl109,T:Cathage in Flames,1959,D:Gallone
CGl115,T:Carmen di Travestere,1962,D:Gallone
CoC10,T:The Spoilers,1914,D:C.Campbell
CWl10,T:Der Stolz der Firma,1914,D:Wilhelm
ECs10,T:In The Land of the War Canoes,1914,D:E.Curtis
El9,T:Schuhpalast Pinkus,1915,D:Lubitsch
El13,T:Wenn Vier Dasselbe Tun,1917,D:Lubitsch
El15,"T:Ein Fideles Gef\""angnis",1918,D:Lubitsch
EL19,T:Die Augen der Mumie Ma,1918,D:Lubitsch
EL21,T:Gipsy Blood,1918,D:Lubitsch
EL28,T:Meyer in Berlin,1919,D:Lubitsch
EL29,T:Die Austernprinzessin,1919,D:Lubitsch
EL31,T:Madame Dubarry,1919,D:Lubitsch
EL32,T:Die Puppe,1919,D:Lubitsch
EL33,T:Romeo und Julia im Schnee,1920,D:Lubitsch
EL34,"T:Kohliesel's T\""ochter",1920,D:Lubitsch
El35,"T:Ich M\""ochte Kein Mann Sein",1920,D:Lubitsch
EL36,T:Sumurun,1920,D:Lubitsch
EL37,T:Anna Boleyn,1920,D:Lubitsch
EL38,T:Die Bergkatze,1921,D:Lubitsch
EL39,T:Das Weib des Pharao,1922,D:Lubitsch
EL40,T:Die Flamme,1923,D:Lubitsch
EL41,T:Rosita,1923,D:Lubitsch
EL42,T:The Marriage Circle,1924,D:Lubitsch
EL44,T:Forbidden Paradise,1924,D:Lubitsch
EL46,T:Lady Windermere's Fan,1925,D:Lubitsch
EL48,T:The Student Prince,1927,D:Lubitsch
EL49,T:The Patriot,1928,D:Lubitsch
EL51,T:The Love Parade,1929,D:Lubitsch
EL52,T:Paramount on Parade,1930,D:Lubitsch
EL53,T:Monte Carlo,1930,D:Lubitsch
EL54,T:The Smiling Luitenant,1931,D:Lubitsch
EL55,T:The Man I Killed,1932,D:Lubitsch
EL56,T:One Hour With You,1932,D:Lubitsch
EL57,T:Trouble in Paradise,1932,D:Lubitsch
EL58,T:If I had a Million,1932,D:Lubitsch
EL60,T:Design For Living,1933,D:Lubitsch
EL61,T:The Merry Widow,1934,D:Lubitsch
EL62,T:Angel,1937,D:Lubitsch
EL63,T:Bluebeard's Eighth Wife,1938,D:Lubitsch
EL64,T:Ninotchka,1939,D:Lubitsch
EL65,T:The Shop around the Corner,1940,D:Lubitsch
EL67,T:To Be or Not To Be,1942,D:Lubitsch
EL68,T:Heaven Can Wait,1943,D:Lubitsch
EL69,T:Cluny Brown,1946,D:Lubitsch
PFo10,T:Cabiria,1914,D:Fosco
PFo15,T:Il Fuoco,1915,D:Fosco
PFo20,T:Tigre Reale,1916,D:Fosco
PFo25,T:Hedda Gabler,1919,D:Fosco
ReB8,T:The Italian,1914,D:R.Barker
ReB10,T:The Typhoon,1914,D:R.Barker
ASa14,T:Bluebeard's Seven Wives,1926,D:Santell
ASa29,T:The Sea Wolf,1930,D:Santell
ASa30,T:Body and Soul,1931,D:Santell
ASa31,T:Daddy Long Legs,1931,D:Santell
ASa34,T:Rebecca of Sunnybrook Farm,1932,D:Santell
ASa39,T:People Will Talk,1935,D:Santell
ASa41,T:Winterset,1936,D:Santell
ASa47,T:Our Leading Citizen,1939,D:Santell
ASa49,T:Betond the Blue Horizon,1942,D:Santell
ASa50,T:Jack London,1943,D:Santell
ASa51,T:The Hairy Ape,1944,D:Santell
